Año,CAMIONES,FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,TRACTORES,REMOLQUES,OTROS,TOTAL
1900,0,0,0,3,0,0,1,0,4
1901,3,0,0,3,2,0,0,0,8
1902,1,0,0,8,0,0,0,0,9
1904,0,0,0,3,0,0,0,0,3
1905,0,0,0,4,1,0,0,0,5
1906,0,1,0,2,1,0,0,0,4
1907,0,0,0,19,0,0,0,0,19
1908,1,0,0,12,0,0,0,1,14
1909,1,1,1,18,3,0,0,0,24
1910,0,0,0,10,0,0,0,0,10
1911,0,2,0,20,3,0,0,0,25
1912,0,0,0,28,1,0,0,0,29
1913,2,1,0,15,1,0,0,0,19
1914,1,1,0,26,6,0,0,0,34
1915,3,0,0,15,1,0,0,0,19
1916,0,0,2,15,6,0,0,0,23
1917,0,2,1,20,2,0,0,0,25
1918,4,0,0,9,5,0,0,0,18
1919,1,0,4,24,4,0,1,0,34
1920,2,0,0,35,21,0,0,0,58
1921,0,0,0,33,8,0,0,0,41
1922,1,4,0,71,22,0,0,1,99
1923,9,2,1,134,17,0,0,0,163
1924,5,11,0,206,36,0,0,0,258
1925,11,9,2,293,29,1,0,0,345
1926,18,12,3,282,50,0,0,2,367
1927,27,13,1,307,81,0,0,0,429
1928,27,21,7,602,128,0,0,3,788
1929,52,20,13,865,159,0,4,1,1114
1930,44,7,3,642,129,0,0,2,827
1931,32,9,8,374,56,0,0,1,480
1932,15,2,7,301,53,0,0,0,378
1933,12,3,7,408,74,0,0,0,504
1934,27,6,9,423,65,0,1,1,532
1935,19,9,2,459,81,0,0,0,570
1936,14,2,6,288,128,0,1,0,439
1937,10,2,0,203,86,0,0,1,302
1938,1,1,0,190,117,1,0,2,312
1939,16,3,1,214,158,0,0,0,392
1940,30,4,5,189,115,0,1,2,346
1941,12,5,3,128,109,0,2,2,261
1942,25,24,2,124,250,1,0,2,428
1943,39,32,5,109,127,0,0,2,314
1944,35,15,3,75,65,0,2,0,195
1945,19,21,1,98,78,0,2,1,220
1946,31,9,2,135,143,1,3,5,329
1947,34,16,3,233,185,2,7,3,483
1948,90,16,1,337,140,1,10,8,603
1949,100,18,9,327,132,0,2,4,592
1950,68,17,5,379,189,1,4,2,665
1951,49,23,10,496,240,1,6,5,830
1952,83,45,7,653,335,1,4,4,1132
1953,92,59,10,956,741,8,7,9,1882
1954,102,118,18,1154,1274,5,6,8,2685
1955,121,121,16,1344,1909,5,11,10,3537
1956,208,181,30,1954,4101,10,18,9,6511
1957,167,99,33,1529,4643,11,15,7,6504
1958,156,73,31,1686,5118,7,26,14,7111
1959,194,183,32,2158,4613,21,28,27,7256
1960,309,370,62,2718,4929,16,72,25,8501
1961,562,543,62,4047,8873,23,95,32,14237
1962,1046,641,86,5500,11392,36,134,51,18886
1963,1323,1040,166,7336,16031,47,104,83,26130
1964,2007,1649,221,13471,19915,58,99,111,37531
1965,3269,2619,292,19415,21068,98,165,155,47081
1966,4559,3808,372,33456,21677,154,277,243,64546
1967,5500,5941,380,42959,15982,153,274,351,71540
1968,5637,6665,330,47664,10655,164,308,349,71772
1969,6578,8012,368,60767,7387,216,427,490,84245
1970,6715,8596,400,65517,5447,275,702,541,88193
1971,6344,8856,438,70233,5679,351,701,505,93107
1972,9041,8629,382,77389,6747,411,825,691,104115
1973,9024,10973,353,84481,10531,487,1430,718,117997
1974,7917,11223,324,70823,12296,553,1489,411,105036
1975,6439,10993,301,66288,12714,481,1124,302,98642
1976,7497,9863,203,68989,14100,465,1142,253,102512
1977,9974,8961,156,71960,18014,525,1471,418,111479
1978,8592,10499,140,72519,20213,448,1291,4716,118418
1979,7910,11933,140,69964,25961,478,1339,2100,119825
1980,6965,12896,134,64863,21241,430,1465,1803,109797
1981,4403,12639,129,56393,21181,417,1333,1749,98244
1982,4303,13600,113,56086,22823,430,1485,1896,100736
1983,4091,15010,143,54549,23105,493,1594,1915,100900
1984,3860,13823,110,49074,17727,434,1423,1639,88090
1985,4942,17625,103,52671,20139,509,1627,1902,99518
1986,6062,21497,123,63399,23375,555,2464,2285,119760
1987,8742,27834,180,85417,31374,767,3694,3212,161220
1988,12020,33843,190,100303,40737,1178,5121,4285,197677
1989,15834,38171,243,110272,54946,1432,6432,5703,233033
1990,18002,38804,184,102844,62716,1212,6807,6609,237178
1991,18054,41463,247,100906,64095,871,6869,6936,239441
1992,18709,45873,265,118240,56983,707,7047,6249,254073
1993,12496,37243,181,97159,29126,448,5301,4358,186312
1994,16143,40103,205,122555,21134,647,6830,4230,211847
1995,24083,37618,282,123078,19196,1276,7694,5507,218734
1996,34699,38932,350,160639,18660,1284,7751,6006,268321
1997,49955,42723,402,218012,27112,1765,9657,7398,357024
1998,64344,51217,527,310596,36681,2266,11960,10264,487855
1999,80222,60508,648,433302,46181,2701,12763,12738,649063
2000,94369,58397,652,520351,48685,3115,15438,14694,755701
2001,97245,60320,768,658459,47279,3551,16185,17270,901077
2002,94630,61896,724,715381,47394,3702,17173,20414,961314
2003,115361,72018,1054,855011,58145,4006,18681,27292,1151568
2004,135556,86108,1611,1038707,97092,5146,20907,41323,1426450
2005,161154,99575,2059,1164122,177250,6898,21960,47677,1680695
2006,179169,101224,2268,1238998,226530,7953,24835,44704,1825681
2007,175797,104862,2903,1274791,237422,9421,27213,40923,1873332
2008,92892,66728,3044,948484,188324,7702,20864,17338,1345376
2009,60683,44486,2522,870116,119528,2986,10523,10231,1121075
2010,60265,55450,2247,879697,122858,4562,11248,8996,1145323
2011,52489,58957,2535,707738,108947,7378,12354,6793,957191
2012,33613,49857,1744,617110,91102,7232,9859,4894,815411
2013,35135,49185,1826,660077,85953,7985,10425,4582,855168
2014,43896,62946,2099,802327,105202,10246,13386,5286,1045388
2015,55984,85272,2988,984501,128098,14913,18084,7432,1297272
2016,56329,93315,3705,1091618,150418,16655,20471,8376,1440887
2017,63491,101036,3971,1176080,136986,16245,19325,11368,1528502
2018,69807,117079,3776,1237107,156082,13593,18873,14222,1630539
2019,66818,112325,3542,1165642,174538,14343,18454,16537,1572199
2020,44679,89354,2182,805260,154937,11866,15188,14368,1137834
2021,52292,92755,1970,794242,166738,14357,18862,17645,1158861
2022,43121,83483,2456,777870,177273,16185,19151,17176,1136715
2023,62037,100146,3753,916403,201885,17956,18500,17775,1338455
